id,77ae5656e1b3992e8fbea4290e0b5b63,510e38e2ac64f3d36b3629eb9fcbb5f1,6d213e72169e53e08a512889e76f5a2b,076d60d6c268c2ef2320425f343234f7,1455f186d12ad849ef19e9496582e375,3103aaf2a3628d77f7a21308adf849a6,9acc4eb917299988d4d91c17db2d57aa,3a3a4c004552cd5c39a1d15896d158ea,57723724d44f911a548f4eccbcb22e70
id,รหัสเกษตร,รหัสแปลง,หมู่บ้าน,ลำดับแปลง,รายการแปลง,"ชนิดกาแฟ GI,Non-GI",รายละเอียดแปลง,มาตราฐานฟาร์ม,เจ้าหน้าที่ส่งเสริม
4cb21cbb9adbe725fe972a60464a6191,3012458,3012458-P01245-สี่พันไร่,สี่พันไร่,1,3012458-P01245-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
35515829612b0463cfcbbbe371a75479,3012531,3012531-P01246-สี่พันไร่,สี่พันไร่,1,3012531-P01246-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
f6a941d68b1f8323ee67408f95ef74e9,3012650,3012650-P01247-ห้วยน้ำขุ่น,ห้วยน้ำขุ่น,1,3012650-P01247-ห้วยน้ำขุ่น-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
38079c3f1d2bc540bb3077461c121746,3013046,3013046-P01248-สี่พันไร่,สี่พันไร่,1,3013046-P01248-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
8d03d6413488b22cdf6973d76a6c7ab8,3013697,3013697-P01249-สี่พันไร่,สี่พันไร่,1,3013697-P01249-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
f5e6394153cd81288e81dcb0b0aace3e,3250249,3250249-P01250-สันป่าสัก,สันป่าสัก,1,"3250249-P01250-สันป่าสัก-อาราบิก้า Non-GI","อาราบิก้า Non-GI","ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: อาราบิก้า Non-GI , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 2000",ไม่ใช่,ไม่ระบุ
515dde88407b97b0f81347d15bc395a4,3270005,3270005-P01251-ปางพระราชทาน,ปางพระราชทาน,1,3270005-P01251-ปางพระราชทาน-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 400",ไม่ใช่,ไม่ระบุ
ca10bb5bda1ec2e9e62404559076fbd7,3270013,3270013-P01252-ปางพระราชทาน,ปางพระราชทาน,1,3270013-P01252-ปางพระราชทาน-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
ebb8ca45434c9aeccf2435a1381d1cbc,3270021,3270021-P01253-ปางพระราชทาน,ปางพระราชทาน,1,3270021-P01253-ปางพระราชทาน-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
022354e695b150f159bf66e545a2058c,3270027,3270027-P01254-ปางพระราชทาน,ปางพระราชทาน,1,3270027-P01254-ปางพระราชทาน-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 400",ไม่ใช่,ไม่ระบุ
